거리표,코드,246,203,274,560,189,136,655,280,133,191,131,135,109,572,242,513,505,596,265,279,192,577,272,167,258,563,558,123,142,227,205,254,215,117,200,161,646,105,528,160,122,629,551,584,567,604,125,537,618,608,519,114,626,536,539,579,297,207,543,250,651,247,218,264,523,237,601,656,530,529,155,202,223,521,232,249,288,622,252,115,259,168,175,514,553,273,261,228,214,130,149,621,657,190,591,102,556,590,146,674,549,583,554,182,576,289,171,582,281,183,571,110,509,508,547,164,511,565,178,293,642,531,550,251,625,283,165,226,220,533,671,213,140,502,593,580,569,586,522,129,151,548,150,570,212,598,525,673,217,555,294,229,561,515,677,282,291,145,222,627,157,589,628,124,181,221,595,552,501,148,559,606,127,153,244,592,298,170,253,578,270,208,255,542,597,128,675,101,139,194,159,653,225,234,198,285,526,266,134,504,654,241,538,545,534,186,287,541,623,103,248,271,268,219,574,113,256,107,154,138,173,599,177,607,564,512,506,118,236,210,132,573,209,106,587,199,581,275,263,116,644,544,126,172,641,180,575,152,195,206,176,156,193,588,166,568,169,645,245,143,185,188,158,566,672,603,163,240,658,267,503,197,104,269,296,278,147,187,295,546,276,292,196,235,262,108,624,643,540,594,112,111,524,204,121,290,260,174,562,201,518,238,239,605,162,137,516,119,230,520,527,211,602,612,277,585,144,224,507,299,648,647,243,676,284,233,257,179,652,535,231,120,557,532,184,216
코드,영업소,가락,가산,가조,감곡,강릉,강진,강촌,거창,건천,경기광주,경산,경주,계룡,고덕,고령,고성,고창,고흥,곡성,곤양,곤지암,공주,광양,광주,광천,괴산,구례화엄,구미,군북,군산,군위,군자,군포,금강,금산,금산사,기장일광,기흥,기흥동탄,김제,김천,김해부산,나주,남강릉,남고창,남공주,남구미,남김천,남논산상,남논산하,남대구,남대전,남밀양,남상주,남성주,남세종,남순천,남안동,남안성,남양산,남양주,남원,남원주,남장수,남제천,남지,남천안,남춘천,내장산,노포,논산,다부,단성,단양,달성,담양,당진,대구,대동,대전,대천,덕유산,덕평,동고성,동광산,동광양,동광주,동군산,동군포,동김천,동김해,동대구,동산,동서울,동서천,동수원,동순천,동전주,동창원,동탄,동함평,동해,동홍천,둔내,마곡사,마산,마성,망상,매송,면온,면천,목천,목포,무안,무안공항,무주,무창포,문경새재,문막,문산,문수,문의,문평,물금,밀양,발안,백양사,벌교,보성,보은,봉담,부곡,부산,부안,부여,북강릉,북광주,북남원,북단양,북대구,북대전,북무안,북부산,북상주,북수원,북여주,북영천,북오산,북원주,북진천,북창원,북천안,북충주,북통영,북평택,비봉,사천,산인,산청,삼랑진,삼례,상관,상동,상주,새말,생초,서공주,서광산,서김제,서김해,서남원,서논산,서대구,서대전,서부산,서부여,서산,서상,서서울,서세종,서순천,서안동,서안산,서안성,서여주,서영암,서오산,서울,서울산,서이천,서전주,서종,서진주,서천,서청주,서평택,서포항,석곡,선산,선운산,설악,성산,성주,소양,속리산,속사,송악,송탄,수성,수원,순창,순천,승주,신림,신양,신탄진,안산,안성,안영,양산,양지,양촌,여주,연무,연풍,연화산,영광,영동,영산,영주,영천,예산수덕,예천,오산,오수,오창,옥계,옥곡,옥과,옥천,온양,완주,왜관,용인,울산,원주,유구,유성,음성,의성,이천,익산,일죽,임실,장성,장성물류,장수,장안,장유,장지,장평,장흥,전주,점촌함창,정남,정안,정읍,제천,조양,주암,줄포,증평,지곡,지리산,지수,진교,진례,진부,진성,진안,진월,진주,진천,창녕,창평,천안,청도,청량,청북,청양,청원,청주,청통와촌,추부,추풍령,축동,춘장대,춘천,충주,칠곡,칠곡물류,칠서,칠원,탄천,태인,통도사,통영,판암,팔공산,평택,포항,풍기,풍세상,풍세하,하동,하조대,함안,함양,함평,해미,해운대,해운송정,해인사,향남,현남,현풍,홍성,홍천,화도,화서,화원옥포,황간,황전,회인,횡계,횡성
246,가락,319.62,146.85,142.63,290.65,444.65,,401.08,153.74,182.58,348.73,148.4,192.98,266.33,335.71,116.28,117.85,263.48,,199.35,106.11,336.61,282.52,145.58,257.58,390.17,248.65,184.35,154.86,60.4,332.32,158.96,387.52,369.01,219.03,226.54,263.55,266.18,348.58,347.88,258.85,170.99,221.18,329.72,452.86,258.22,292.45,149.79,141.84,254.33,332.43,115.13,246.24,191.69,187.16,113.22,262.96,,192.69,325.76,250.16,445.55,192.27,326.19,177.09,286.49,57.02,296.25,392,264.79,256.16,259.85,140.57,112.69,260.27,215.33,227.14,357.8,336.05,262.22,242.66,380.14,191.35,325.86,123.02,340.67,140.44,231.04,323.92,367.62,163.05,23.66,141.73,386.95,360.07,340.73,356.54,157.3,231.95,25.5,362.09,314.96,485.66,402.74,367.56,291.85,34.15,345.02,477.38,375.49,384.56,344.37,291.3,329.28,311.4,318.56,207.38,368.15,220.4,331.3,82.45,237.33,249.84,320.09,252.47,185.66,357.85,255.6,,,228.32,358.39,365.47,260.64,297.44,317.75,449.19,231.81,205.41,274.46,127.37,252.22,314.26,31.06,198.96,362.63,322.72,163.52,347.19,338.92,306.23,34.14,309.74,273.3,133.19,365.39,371.47,92.7,285.38,131.27,199.25,240.18,241.75,214.54,185.92,350.48,138.65,291.61,334.1,311.37,18.08,199.14,315.32,199.63,258.82,5.3,326.61,354.97,167.29,378.37,275.52,158.04,207.69,380.89,328.31,313.32,,354.59,366.2,222.76,325.9,252.25,428.21,97.2,347.53,267.87,356.56,194.31,187.28,162.91,271.39,415.33,104.02,125.13,221.06,222.34,399.4,365.87,329.16,145.33,353.81,218.13,154.28,168.05,307.61,311.52,252.69,377.56,321.5,254.21,243.3,332.96,269.75,311.32,324.02,234.41,100.62,276.8,202.99,63.91,233.09,164.85,324.03,220.99,339.6,219.11,275.34,470.72,133.96,210.78,230.43,250.44,230.28,135.81,340.92,234.63,337.75,300.99,259.72,308.38,169.96,313.8,241.61,321.32,228.91,248.88,248.18,178.95,260.78,9.8,58.08,390.24,,246.21,206.42,355.49,298.65,273.25,294.79,,179.86,281.26,283.71,153.41,167.54,68.7,112.51,19.2,406.55,74.71,194.75,129.54,86.44,295.69,75.48,222.24,301.53,167.63,242.6,347.23,305.33,261.44,266.5,152.95,237.82,183.04,98.11,359.44,399.39,264.13,126.67,132.63,48.18,282.81,306.92,274.1,229.19,137.58,242.48,135.15,342.03,202.71,243.29,314.97,296.25,122.56,473.65,53.91,149.03,301.13,365.69,280.1,274.07,125.66,358.09,458.43,91.89,379.37,375.22,433.51,206.11,109.04,193.1,171.56,239.14,419.39,349.63
203,가산,146.85,169.6,89.54,205.54,297.8,,254.23,100.65,85.65,263.18,51.47,96.05,181.22,250.6,63.19,178.7,259.62,,243.83,166.96,251.06,197.41,206.43,253.72,305.06,163.54,199.43,57.93,121.25,268.36,12.11,301.97,283.46,133.92,184.5,240.9,169.25,263.47,262.77,236.2,85.88,124.25,325.86,306.01,254.36,207.34,52.86,80.85,209.17,247.32,137.88,164.8,94.76,102.05,60.13,177.85,,45.84,240.65,153.23,298.7,169.62,179.34,154.44,139.64,89.83,211.14,245.15,260.93,159.23,203.65,6.28,158.62,113.42,42.56,216.04,272.69,239.12,165.29,157.55,303.72,168.7,240.31,183.87,336.81,201.29,227.34,276.76,282.07,77.94,144.91,44.8,240.1,274.52,264.31,270.99,218.15,209.3,121.35,276.98,311.1,338.81,255.89,220.71,206.74,161.4,259.47,330.53,290.38,237.71,259.26,206.19,325.42,307.54,314.7,184.73,291.73,135.29,193.43,143.3,140.4,164.73,316.23,155.54,88.73,272.74,251.74,,,143.21,273.28,279.92,163.71,293.58,232.64,302.34,227.95,182.76,127.61,30.44,167.11,310.4,152.31,113.85,277.08,237.17,66.59,262.08,192.07,221.12,112.71,224.63,188.19,194.04,280.28,286.36,153.55,232.29,140.04,102.32,217.53,219.1,117.61,100.81,203.63,132.66,206.5,330.24,289.31,139.33,184.64,230.21,26.86,173.71,152.15,241.5,269.86,144.64,292.82,190.41,218.89,60.84,295.34,243.2,227.77,,269.48,280.65,125.83,240.35,229.6,281.36,158.05,271.11,182.76,271.45,97.38,248.13,77.8,267.53,268.48,50.93,72.04,198.41,137.23,252.55,280.76,244.05,48.4,268.63,195.48,215.13,228.9,160.76,226.41,167.58,292.01,236.39,169.1,146.37,247.41,193.75,213.41,238.91,149.3,161.47,272.94,117.88,82.94,86.24,67.92,238.92,74.14,254.49,196.46,190.23,323.87,194.81,232.4,145.32,153.51,207.63,38.88,255.37,137.7,190.9,215.88,174.61,223.27,23.11,228.25,218.96,236.21,206.26,245.02,244.32,156.3,163.85,137.05,118.93,243.39,,223.56,121.31,270.38,213.54,264.29,147.94,,240.71,277.4,198.6,130.76,144.89,129.55,173.36,127.65,259.7,135.56,172.1,190.39,147.29,210.58,71.37,226.78,216.42,70.7,145.67,262.12,220.22,176.33,181.39,56.02,173.22,97.93,158.96,283.02,252.54,179.02,20.18,35.7,98.67,110.04,221.81,251.45,132.26,198.43,157.37,38.22,256.92,105.78,96.44,229.86,211.14,183.41,326.8,114.76,126.38,297.27,280.58,183.17,177.14,72.57,272.98,311.58,54.96,294.26,228.37,286.66,121,37.81,107.99,212.22,154.03,272.54,202.78
274,가조,142.63,89.54,80.06,228.08,387.34,,343.77,11.11,125.27,281.64,91.09,135.67,157.05,240.82,26.35,120.24,170.08,,154.29,108.5,269.52,187.63,147.97,164.18,295.28,186.08,109.89,97.55,117.03,238.92,101.65,307.32,288.81,156.46,114.35,151.36,208.87,263.67,262.97,146.66,108.42,163.87,236.32,395.55,164.82,197.56,92.48,79.27,142.14,237.54,57.82,134.05,134.38,124.59,50.65,168.07,,135.38,240.85,192.85,388.24,80.08,268.88,64.9,229.18,85.61,211.34,334.69,171.39,198.85,147.66,83.26,69.08,202.96,152.76,126.5,262.91,278.74,204.91,148.42,286.74,79.16,258.77,125.41,247.27,142.83,137.8,230.52,287.42,100.48,140.69,84.42,329.64,292.98,247.33,276.34,147.18,119.76,117.13,277.18,221.56,428.35,345.43,310.25,196.96,157.18,277.93,420.07,290.58,327.25,249.48,206.39,235.88,218,225.16,95.19,274.75,157.83,268.73,99.32,180.02,181.13,226.69,195.16,128.35,272.94,162.2,,,165.75,273.48,285.27,203.33,204.04,222.86,391.88,138.41,93.22,217.15,70.06,157.98,220.86,148.09,136.39,282.43,260.15,106.21,262.28,281.61,221.32,108.49,224.83,210.73,135.58,280.48,286.56,95.09,142.75,50.5,141.94,127.99,129.56,157.23,123.35,293.17,43.12,196.72,240.7,217.97,135.11,95.1,220.43,137.06,149.54,147.93,231.72,260.08,55.1,298.17,180.63,147.92,150.38,300.69,243.4,250.75,,269.68,286,165.45,258.81,140.06,370.9,84.57,254.13,182.96,271.65,137,166.36,100.34,177.99,358.02,38.61,62.56,108.87,159.77,342.09,270.98,244.25,88.02,268.9,105.94,144.16,157.93,250.3,216.63,158.45,297.36,236.59,144.93,185.99,265.87,157.56,248.75,229.13,171.84,103.01,183.4,140.42,78.72,175.78,107.54,229.14,163.68,254.69,106.92,190.43,413.41,136.35,142.86,153.53,193.13,118.09,78.5,273.83,177.32,280.44,206.1,159.05,223.47,112.65,251.23,129.42,236.41,116.72,155.48,154.78,66.76,203.47,132.83,114.71,332.93,,134.02,143.85,270.58,203.76,174.75,237.48,,169.74,187.86,198.8,41.22,55.35,113.07,114.9,123.43,349.24,107.06,82.56,131.93,95.33,210.78,67.15,137.24,216.62,110.32,185.29,262.32,210.44,169.53,181.59,95.64,125.63,120.47,100.5,266.04,342.08,201.56,69.36,75.32,94.45,105.82,212.03,161.91,171.88,139.97,141.48,77.84,257.12,145.4,185.98,220.08,211.34,124.95,416.34,110.54,36.84,207.73,270.8,222.79,216.76,16.97,273.18,401.12,50.74,284.48,317.91,376.2,143.54,51.73,130.53,122.68,176.57,362.08,292.32
560,감곡,290.65,205.54,228.08,189.03,163.3,,119.73,239.19,241.27,58.08,207.09,251.67,154.28,161.67,201.73,322.5,297.39,,321.64,310.76,45.96,162.22,327.89,291.49,190.73,42,289.12,147.61,265.05,233.17,217.65,96.87,78.36,157.89,168.33,224.35,324.87,68.76,69.46,219.65,153.84,279.87,363.63,171.51,292.13,172.15,152.68,148.81,182.23,212.13,205.84,148.63,250.38,120.77,177.43,142.66,,188.24,85.83,308.85,164.2,277.99,54.74,278,94.44,233.63,123.93,110.65,256.2,314.85,176.71,199.26,282.18,120.66,198.18,301.09,139.58,394.74,320.91,134.26,210.45,203.52,35.21,327.67,374.58,333.03,305.15,241.57,76.97,145.9,288.71,200.42,105.6,69.42,229.12,65.89,326.41,213.67,265.15,92.45,348.87,204.31,121.39,86.21,171.55,305.2,54.37,196.03,86.88,103.21,153.01,126.04,363.19,345.31,352.47,187.49,222.44,70.25,40.65,287.1,296.02,117.75,354,311.16,244.35,104.52,265.39,,,139.27,88.75,74.82,319.33,268.05,197.45,167.84,289.18,264.85,106.47,186.06,131.92,348.17,296.11,91.69,71.98,32.07,222.21,77.55,57.57,66.3,256.51,107.6,17.35,337.84,95.75,90.9,297.35,355.85,263.6,257.94,200.98,223.47,273.23,104.73,69.13,256.22,171.31,368.01,254.12,283.13,274.33,195.02,182.48,148.93,295.95,206.31,155.53,227.58,87.72,155.22,327.15,173.24,90.24,92.99,22.67,,84.95,75.55,281.45,35.25,213.05,146.86,297.67,235.92,99.72,118.87,253,333.71,127.74,294.1,133.98,189.47,165.52,215.5,145.25,118.05,131.51,93.84,204.02,63.53,285.17,323.39,337.16,73.32,185.86,124.23,86.91,95.84,152.93,301.99,42.31,166.81,20.67,203.72,56.24,305.27,310.71,173.93,226.74,147.84,223.54,173.35,159.94,77.74,251.15,92.25,189.37,338.61,310.21,146.49,309.13,206.28,166.66,50.27,293.32,56.4,180.69,139.42,59.21,210.97,23.15,194.95,46.27,241.35,282.79,282.09,220.04,319.47,280.85,262.73,108.89,,207.01,84.23,85.85,178.35,247.74,86.14,,341.13,284.23,83.88,241.46,268.45,273.35,317.16,271.45,125.2,279.36,235.84,334.19,291.09,71.9,215.17,304.59,115.81,226.32,301.29,111.91,185.03,113.15,150.84,211.64,157.05,165.89,302.76,231.15,118.04,26.52,185.36,169.84,242.47,253.84,186.62,234.9,287.88,342.23,141.2,193.84,106.71,261.4,137.64,194.67,123.93,327.21,192.3,258.56,249.94,335.04,166.25,338.79,332.76,211.11,88.45,177.08,198.76,179.93,93.87,152.16,139.72,193.43,175.95,301.91,128.45,138.04,68.28
189,강릉,444.65,297.8,387.34,163.3,227.02,,183.45,398.45,383.45,192.4,349.27,393.85,288.6,295.99,360.99,467.66,431.71,,455.96,455.92,180.28,296.54,462.21,425.81,325.05,205.3,423.44,310.91,419.05,367.49,285.69,231.19,212.68,292.21,302.65,358.67,467.05,203.08,203.78,353.97,317.14,422.05,497.95,8.21,426.45,306.47,315.98,312.11,316.55,346.45,369.14,282.95,392.56,284.07,340.73,276.98,,251.96,220.15,451.03,227.92,412.31,118.46,412.32,158.16,387.63,258.25,174.37,390.52,457.03,311.03,304.08,416.5,184.38,340.36,435.41,273.9,536.92,463.09,268.58,344.77,337.84,169.53,472.83,508.9,467.35,439.47,375.89,211.29,309.2,442.71,342.6,169.32,203.74,363.44,200.21,460.73,347.99,419.15,226.77,483.19,41.01,185.11,77.09,305.87,459.2,188.69,32.73,221.2,60.09,287.33,260.36,497.51,479.63,486.79,321.81,356.76,233.55,122.65,441.1,438.2,252.07,488.32,453.34,386.53,238.84,399.71,,,273.59,223.07,209.14,461.51,402.37,331.77,9.94,423.5,399.17,170.19,328.24,266.24,482.49,450.11,254.99,206.3,166.39,364.39,211.87,121.29,200.62,410.51,241.92,180.65,483,230.07,225.22,442.51,490.17,397.92,400.12,335.3,357.79,415.41,268.03,94.17,390.54,305.63,502.33,388.44,437.13,408.65,329.34,324.66,283.25,449.95,340.63,289.85,361.9,222.04,289.54,461.47,236.96,224.56,227.31,156.99,,219.27,209.87,423.63,169.57,347.37,210.58,431.99,370.24,234.04,253.19,395.18,468.03,291.04,428.42,197.7,348.73,328.82,349.82,279.57,45.25,265.83,228.16,346.2,197.85,419.49,457.71,471.48,137.04,320.18,258.55,221.23,230.16,287.25,444.17,176.63,301.13,142.63,338.04,219.54,450.43,445.03,308.25,380.74,211.56,365.72,307.67,223.66,212.06,385.47,226.57,26.07,473.83,444.53,280.81,451.31,340.6,329.96,184.59,435.5,106.9,315.01,273.74,193.53,274.69,157.47,329.27,180.59,375.67,417.11,416.41,354.36,461.65,434.85,416.73,54.41,,341.33,247.53,220.17,312.67,382.06,149.86,,475.45,418.55,218.2,375.78,402.77,427.35,462.32,425.45,38.1,433.36,370.16,478.25,442.75,206.22,369.17,438.91,250.13,368.5,443.47,246.23,319.35,247.47,285.16,353.82,291.37,328.2,447.92,365.47,181.76,189.82,317.98,333.14,396.47,407.84,320.94,369.22,430.06,487.39,275.52,336.02,241.03,403.58,201.36,328.99,258.25,472.37,34.4,412.56,384.26,469.36,300.57,480.97,474.94,370.37,222.77,19.18,352.76,314.25,157.59,215.88,295.8,335.61,318.14,436.23,262.77,25.26,132
136,강진,,,,,,,,,,,,,,,,,,64.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.18,41.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,강촌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.47,,,,,,,9.08,,,,,,,,,,,,,,,,,,,,,,,,,14.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.13,,,,,,,,,14.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.43,,,,,,,
280,거창,153.74,100.65,11.11,239.19,398.45,,354.88,102.28,136.38,270.53,102.2,146.78,145.94,229.71,37.46,109.13,158.97,,143.18,97.39,258.41,176.52,136.86,153.07,284.17,197.19,98.78,108.66,110.26,227.81,112.76,296.21,277.7,153.82,103.24,140.25,219.98,252.56,251.86,135.55,119.53,174.98,225.21,406.66,153.71,186.45,103.59,90.38,131.03,226.43,68.93,122.94,145.49,135.7,61.76,156.96,,146.49,229.74,203.96,399.35,68.97,279.99,53.79,240.29,96.72,200.23,345.8,160.28,209.96,136.55,94.37,57.97,214.07,163.87,115.39,251.8,289.85,216.02,137.31,275.63,68.05,247.66,114.3,236.16,131.72,126.69,219.41,276.31,111.59,151.8,95.53,340.75,281.87,236.22,265.23,136.07,108.65,128.24,266.07,210.45,439.46,356.54,321.36,185.85,168.29,266.82,431.18,279.47,338.36,238.37,195.28,224.77,206.89,214.05,84.08,263.64,168.94,279.84,88.21,191.13,170.02,215.58,206.27,139.46,261.83,151.09,,,176.86,262.37,274.16,214.44,192.93,211.75,402.99,127.3,82.11,228.26,81.17,146.87,209.75,159.2,147.5,271.32,271.26,117.32,251.17,292.72,210.21,119.6,213.72,221.84,124.47,269.37,275.45,83.98,131.64,39.39,153.05,116.88,118.45,168.34,134.46,304.28,32.01,185.61,229.59,206.86,146.22,83.99,209.32,148.17,138.43,159.04,220.61,248.97,43.99,287.06,169.52,136.81,161.49,289.58,232.29,261.86,,258.57,274.89,176.56,247.7,128.95,382.01,73.46,243.02,171.85,260.54,148.11,155.25,111.45,166.88,369.13,49.72,73.67,97.76,170.88,353.2,259.87,233.14,99.13,257.79,94.83,133.05,146.82,261.41,205.52,147.34,286.25,225.48,133.82,197.1,254.76,146.45,259.86,218.02,182.95,91.9,172.29,151.53,89.83,186.89,118.65,218.03,174.79,243.58,95.81,179.32,424.52,125.24,131.75,142.42,204.24,106.98,89.61,262.72,188.43,291.55,194.99,147.94,212.36,123.76,248.42,118.31,225.3,105.61,144.37,143.67,55.65,214.58,143.94,112.58,344.04,,122.91,154.96,259.47,192.65,163.64,248.59,,158.63,176.75,187.69,30.11,44.24,101.96,103.79,134.54,360.35,95.95,71.45,120.82,84.22,199.67,78.26,126.13,205.51,121.43,196.4,251.21,199.33,158.42,170.48,106.75,114.52,131.58,89.39,254.93,353.19,212.67,80.47,86.43,105.56,116.93,200.92,150.8,182.99,128.86,130.37,88.95,246.01,156.51,197.09,208.97,200.23,113.84,427.45,116.75,25.73,196.62,259.69,233.9,227.87,28.08,262.07,412.23,61.85,273.37,329.02,387.31,154.65,62.84,141.64,111.57,180.72,373.19,303.43
